Max Temp,Min Temp,Wind Direction,Wind Speed,Sun Hours,Rel. Humidity,Rain Amount,Outcome
21.8,11.9,278,4,13.3,69,0,0
23.9,15.2,196,10.8,13.3,69,0,0
23.3,14.1,269,3.6,7.6,79,0,0
27,15.8,209,7.9,13.3,76,0,0
24.4,14.2,299,4,8.8,71,0,0
24.5,16.4,248,11.2,13.5,75,0,0
24.7,15.6,172,6.5,9.8,66,0,0
24.4,18.2,27,12.6,9.4,74,0,0
24.4,16,223,15.5,5.4,76,0,0
24.8,18.4,217,18.4,11.8,67,0,0
24.6,18.1,212,21.6,12.9,72,0,0
25.2,18.8,198,15.8,8.6,71,0,0
24.5,16.3,127,8.3,13.7,63,0,0
24.6,15.4,161,5.4,12.3,63,0,0
27.3,16.7,35,7.9,11.7,63,0,0
27.2,18.5,349,8.6,9.8,64,0,0
26.3,17.8,219,12.6,3.6,65,2.4,1
25.3,18.5,238,10.8,13.7,77,0.4,1
26.2,17,284,5.8,12.2,75,0,0
25.7,17.4,180,10.1,11.5,63,0,0
23.1,13.8,123,11.9,9.2,63,0,0
24.9,15.9,59,10.4,10.6,60,0,0
25.4,18,280,3.6,9.3,66,0,0
26.3,16.9,33,4,11.9,73,0,0
26.5,18.1,114,7.2,12.3,71,0,0
25.4,17.2,140,2.9,6.2,74,0,0
26.8,17.8,158,7.6,4.6,69,0,0
27.4,17.8,124,18.4,8.9,62,0,0
28.3,17.2,67,14.8,8.6,73,0,0
27.4,19.5,348,6.8,10.3,94,2,1
24.9,19.9,37,12.6,0.2,80,1,1
24.1,19.2,359,8.6,0,83,2.6,1
28.9,19.7,266,17.3,8.9,79,3,1
25.5,15.8,345,4.7,9.4,77,0,0
21.9,17,214,25.2,0.2,87,11.8,1
23,16.6,255,42.8,8.6,88,0.6,1
21.2,16.1,202,21.6,6.8,53,0.2,1
21.9,17.1,221,7.9,11,73,0,0
22.8,17.1,315,7.9,1.3,78,0,0
24.7,18.2,152,8.3,0.2,82,0,0
25.8,13.9,122,10.1,4.8,54,0,0
23.1,15.6,114,11.2,6.6,68,0,0
23.4,15.7,143,3.2,0.1,77,0,0
23.9,13.6,121,5.8,8.3,74,0,0
24.9,14.9,113,6.1,4.6,67,2.2,1
24.7,15.6,48,4.3,6.4,74,0,0
26.1,14.5,317,4.3,5.5,74,0,0
26.2,14.1,277,5,12,75,0,0
25.5,14.5,187,5.8,12.6,74,0,0
24,17.3,40,4.3,12.1,79,0.6,1
25.4,17,1,5,7.3,81,0,0
24.9,18.7,304,6.5,3.2,83,5.6,1
25.8,15.8,102,6.1,3.8,81,0.2,1
24.7,15.9,117,7.9,4.6,76,0.8,1
23.9,13.5,41,1.4,1.5,80,0,0
25.4,15,160,3.6,12,77,0,0
26.5,14.5,57,2.2,11.2,78,0,0
25.6,14.2,110,1.8,10.3,74,0,0
25.8,14.4,9,2.5,12.1,82,0,0
28.1,16.9,31,15.8,12.1,71,0,0
25.8,17.4,81,9,9.9,76,0,0
24.9,18.8,130,5,1.2,78,0,0
26.1,16.4,82,3.2,3.1,78,2.2,1
27.5,20.4,13,19.4,9.7,77,0,0
25,17.4,360,5.4,0.6,86,1.8,1
25.2,16.5,250,23,4.2,82,1.4,1
22.8,17,47,3.2,8.1,78,0,0
23.4,15.6,172,3.6,2,72,0,0
24.2,14.8,149,4.3,11.3,74,0,0
25.5,17.2,106,5.8,7.6,77,0,0
26.4,15.9,105,6.5,7.1,75,0,0
26,15,113,2.5,10.7,81,0,0
26.2,16,91,8.6,11.4,65,0,0
22.8,17.1,199,16.6,1.4,93,32.2,1
23.5,17.4,210,12.6,3,73,0.4,1
22.9,14,250,3.6,7.4,66,0,0
21.2,14.3,12,2.5,4.6,87,2.4,1
22.7,11.9,182,3.2,7,83,0,0
22.4,14.6,100,7.2,8.4,70,0,0
22.7,14.3,74,6.5,4.1,72,0,0
23.1,14,62,4,8.4,84,0,0
22.7,15.2,46,13.7,2,95,16.2,1
22,12.8,74,1.4,4.2,92,0,0
23.9,16.6,4,5.8,8.5,79,0,0
23.3,16.5,203,5.4,3,98,10.4,1
25.8,16.5,54,11.2,5.2,92,7.4,1
23.8,17.8,320,10.1,1.7,96,8.2,1
25.2,16.5,261,22.3,6.5,76,2.4,1
22.7,15.9,207,9.7,9,66,0.6,1
22,11.2,71,1.1,9.3,90,0,0
24,12.1,351,1.4,11,95,0,0
23.8,13.2,92,2.5,5.3,95,0,0
22.8,12.8,94,2.5,9,86,0,0
23.8,15.8,25,5.8,9.5,86,0,0
23.6,16.5,310,4.3,3,72,1.8,1
23.9,17.9,12,14.8,9.8,69,0,0
24.8,16.2,329,5.8,9,71,0,0
24.4,19.2,331,7.9,3.3,87,0,0
22.4,17.9,16,7.2,0,86,0,0
25.1,17.7,228,29.5,2.3,78,6.2,1
21.9,13.9,251,15.8,9.9,72,0,0
20.8,14.2,352,14.4,0.3,90,3.4,1
20.4,8.6,201,22.7,2.9,89,19.4,1
15.1,8.6,221,20.9,5.9,63,3.8,1
19.1,10.5,140,4,4.1,59,1.2,1
19.7,9,355,2.9,10,82,0,0
20.5,14.1,16,14.4,2,88,0.4,1
17.6,10.7,135,8.6,3.3,78,5.2,1
22.2,11.6,95,2.9,9.3,91,0,0
22.7,11.7,118,4,8.4,88,0,0
23.6,12,231,4.3,8.1,97,0,0
20.3,11.9,122,2.5,2.5,98,0,0
21,12,130,4,2,82,1.2,1
21.2,10.4,95,6.5,9.4,84,0.2,1
20.3,14.9,33,21.2,5.2,64,0.2,1
21.4,17.5,28,31.7,4.1,94,11.8,1
22.2,16.5,272,25.2,2.3,74,15.2,1
19.7,12.1,260,22.7,6.8,79,8.4,1
19.1,13.5,236,50.4,6.7,65,4,1
16.9,7,105,2.5,1.3,78,0.8,1
19.6,9.8,232,9.7,10.1,88,0,0
18.8,13.3,267,9.4,1.6,71,0,0
19,8.2,118,3.6,0.7,78,0,0
19.9,11.7,56,12.2,5.6,88,0,0
20.1,13.1,36,15.5,0.1,80,0,0
21.3,17.2,16,15.5,6.9,82,0,0
22.3,16.6,344,7.9,2.8,95,17,1
17.2,12.5,183,4.3,0,96,6.8,1
19,11.7,226,11.2,6.7,73,0,0
20.1,10.5,347,3.2,8.7,97,0.4,1
20.9,14.5,8,15.8,5.6,86,0.2,1
17.6,13.7,307,8.3,1.7,66,8.2,1
20.6,13.6,11,14,6.6,71,0,0
20.2,12.8,19,15.5,1.2,88,12.8,1
16.2,8.3,185,5,4.8,70,4.2,1
16.8,8.2,70,2.5,8.3,77,0,0
17.7,7.7,62,4,2.8,91,0,0
17.2,13.2,211,22.7,2,79,0.2,1
17.1,7.2,32,2.2,5.3,94,0.2,1
17.2,10.5,326,13.7,3.8,86,0,0
17.8,13.5,228,9.7,3,84,3.8,1
16.3,10.8,135,9,1.7,97,8.6,1
16.2,11.4,227,39.2,0,75,40,1
15.1,10.9,236,55.4,3.8,80,9.8,1
14.3,9.1,246,37.8,4.7,75,2.2,1
14.8,9.6,75,3.6,3.4,82,4.6,1
15.4,4.2,217,5.4,4.2,82,0.4,1
15.1,2.1,215,5,9.6,94,0,0
15.9,4.5,91,2.2,8.4,93,0,0
17.2,9.7,45,14.8,7.7,90,0.8,1
17,12.1,35,10.1,0,97,4.8,1
18.1,13.8,31,24.5,3.6,88,3.8,1
20.7,11.9,352,18,3.3,80,2.8,1
16.3,11.8,280,19.8,0.7,91,34.8,1
15.9,11.5,254,10.8,1.5,95,7.8,1
17.2,7.8,244,2.9,2.7,99,1.4,1
16.7,7.6,35,3.2,3.1,98,0.4,1
15.2,6.3,352,1.4,3.3,97,0.6,1
16.5,7.3,39,4.3,9.3,98,0,0
17.1,10.8,334,10.8,2.4,79,0,0
17.6,11.6,274,20.5,5.5,85,4.4,1
17.7,11.5,268,16.6,5.8,74,1.3,1
17.4,12.3,239,44.3,1.4,70,1.5,1
15.9,13.1,252,37.4,4,76,0,0
16.8,11.6,246,30.6,2.8,84,2.6,1
16.4,7.6,187,12.2,3.8,52,3.6,1
13.3,4.1,50,3.2,9.3,87,0,0
16.5,8.5,335,9.4,5.2,76,0,0
15.4,11.5,49,11.9,0.1,78,0,0
18.9,15.2,29,18.7,0.6,87,0.2,1
17.3,11.2,240,15.8,0,82,10.4,1
15.1,10,199,11.9,3.7,81,0.2,1
14.1,2.2,158,2.5,6.9,73,0,0
11.1,0.6,79,4,9.3,82,0,0
11.7,2.9,179,7.6,9.3,85,0,0
12.9,8.3,203,11.9,5,77,0,0
15.9,11.9,227,34.6,5.7,89,1.4,1
15.9,11.6,220,16.9,5.3,78,0,0
16.8,11.1,248,21.6,5.8,85,0.2,1
15.6,11.3,247,23.8,5.7,90,1.8,1
15.9,11.2,238,23.8,5.9,80,0.6,1
15.6,7.3,33,3.6,4.7,97,0,0
16,7.8,31,7.9,2.9,84,0,0
16.5,12.1,236,12.2,2.8,97,27.6,1
16.4,11.3,211,31,0.5,73,0.6,1
14.8,11.6,320,11.2,3.3,85,0,0
17.4,11.7,312,10.4,4.7,90,12.2,1
16.8,10,204,15.5,0.4,74,19.4,1
12.8,2.3,173,8.6,4.3,61,0.4,1
10.6,2.9,172,8.3,7.6,58,0,0
10.8,0.7,88,1.8,9.1,89,0,0
11.9,0,278,2.5,9.3,90,0,0
13.4,1.7,199,1.1,9.5,96,0,0
14.2,5.9,62,5.8,9.4,88,0.2,1
14.4,10.3,37,26.3,0.7,83,0,0
15.5,10.2,212,11.2,0.6,95,39.6,1
15.6,8.6,313,4,4.1,94,0,0
15.9,7.1,43,27.4,7.6,94,2.4,1
16.1,9.5,216,20.2,1.8,84,30.2,1
11.8,9.6,236,23,5.7,88,0,0
14.1,4.9,71,5.8,5.4,65,0.6,1
14.3,8.4,211,7.2,8.4,79,0,0
15,3,301,1.8,9.6,98,0,0
12.9,6.1,12,3.2,2.7,90,0,0
13.6,5.5,215,3.6,1.7,99,0,0
14.4,7.3,36,15.1,4.6,78,1.4,1
15,12.1,48,17.3,0,88,9,1
15.6,11.8,273,14.8,0,84,5.2,1
17.2,8.8,235,38.5,5.1,78,15.2,1
14,4.8,162,4.3,4.6,62,3.8,1
13,6.5,43,2.2,9.5,89,0,0
14.2,8.8,329,10.1,5,91,0,0
16.7,10.1,307,14,5.3,94,1.4,1
16.8,11.4,334,9.4,3.4,94,2.2,1
17.9,12.5,9,11.2,5.6,85,0,0
18.2,10.8,99,4,0.3,97,11.2,1
15.4,10.9,276,22.3,0,87,24.8,1
18,9.8,300,17.6,4.5,84,1.8,1
15.6,9.4,256,31.3,4,68,7.6,1
13.8,6.4,350,5.4,7,80,4,1
13.4,3.2,154,5.4,3.9,89,0.4,1
12.8,2.3,149,5,7.9,76,9.8,1
11.3,1.7,76,3.2,8.7,76,0,0
12.6,1.7,76,2.2,9.8,94,0,0
15,8.1,47,27,9.9,75,0,0
15,8.6,337,6.5,1.5,93,14,1
15.7,9.7,168,7.9,5.3,88,1.8,1
16.7,5.9,239,3.6,6,90,0,0
16.1,7.9,40,14.8,6.4,68,0.2,1
14.9,11.1,25,15.8,0.8,83,11.4,1
16.3,9.2,258,23,3.4,87,6.6,1
15.5,5.3,231,4.3,6.2,91,0,0
14.4,4.8,221,3.2,10.3,90,0,0
14.6,8.3,48,7.6,0.5,82,0,0
17,9.1,43,11.5,9.9,84,0,0
17.3,12.6,10,9.7,7.2,87,0.6,1
15.2,9.5,219,20.2,0,65,2.6,1
15.3,4.8,116,5.4,6.9,75,0,0
16.8,4.1,335,1.8,9.7,94,0,0
17.3,4.6,47,8.3,7.6,86,0,0
15.6,11.6,303,18.4,1.7,94,6.8,1
16.5,12.8,56,9.4,0.2,98,7.4,1
14.8,13.6,35,30.2,0,98,60,1
18,11.3,347,9.4,2.9,84,3.4,1
18.5,11.4,254,39.6,8,74,4.6,1
15.2,11,294,10.4,3.4,74,1.6,1
14.1,9.6,175,8.6,0,90,8.8,1
15.1,10.4,289,19.4,4.4,91,2.8,1
14.5,9,231,27,5.6,78,2.4,1
14.8,9.9,231,22.3,7,72,0,0
16.2,9.2,323,5.4,2.9,65,0,0
16.8,11.1,42,13.7,1.6,87,0.2,1
14.3,9,226,48.6,0,69,8.4,1
13.3,7.6,192,17.3,5.6,56,8.8,1
13.5,10,228,31,10.8,79,0,0
16,6.3,217,3.6,1.3,98,0,0
17.5,9.4,230,29.9,6.8,71,0,0
14.4,11.6,253,11.9,0,85,0,0
15.2,9.3,360,7.6,1.9,81,0,0
